#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  mu  mu) ,  Allowed/excluded  (1/0) 

0.5153846153846153,4776.662527238624,0.0003665241237079626,5.874346378501633e-08,5.500006208392462e-09,0
0.5153846153846153,2978.460572589887,0.00046415888336127773,9.42178272014455e-08,1.1614972053656149e-08,0
0.5153846153846153,1857.1913542500013,0.0005878016072274912,1.51123407945973e-07,3.1622038842868333e-08,0
0.5153846153846153,1158.0260712790682,0.0007443803013251688,2.424162268923974e-07,2.4108313404849377e-07,0
0.5153846153846153,722.0654471872874,0.0009426684551178855,3.888896327302715e-07,2.3927427015421165e-06,1
0.5153846153846153,450.2268662539502,0.0011937766417144358,6.239143886531098e-07,717948.7179491399,1
0.5153846153846153,280.72648905725464,0.0015117750706156615,1.0010419749249022e-06,717948.7179587978,1
0.5153846153846153,175.03842940307533,0.0019144819761699576,1.6061989612419024e-06,1000000.0,1
0.5153846153846153,109.1396382620972,0.0024244620170823282,2.5772436755534274e-06,1000000.0,1
0.5153846153846153,68.05056736487361,0.00307029062975785,4.135330001546598e-06,1000000.0,1
0.5153846153846153,42.43087795037267,0.003888155180308085,6.635207242110377e-06,1000000.0,1
0.5153846153846153,26.456595679776537,0.0049238826317067365,1.0645889443745e-05,1000000.0,1
0.5153846153846153,16.496354021400514,0.006235507341273912,1.708003052090957e-05,1000000.0,1
0.5153846153846153,10.285945174028537,0.007896522868499725,2.7401411723260104e-05,1000000.0,1
0.5153846153846153,6.413611637101986,0.01,4.395770140967644e-05,1000000.0,1
0.5692307692307693,570693156.7056494,1e-06,4.377100546219899e-13,1000000.0,1
0.5692307692307693,355856136.8207255,1.2663801734674021e-06,7.01963819022497e-13,1000000.0,1
0.5692307692307693,221894355.35374787,1.6037187437513308e-06,1.125752534249988e-12,1000000.0,1
0.5692307692307693,138362388.17501318,2.030917620904735e-06,1.8053904406395294e-12,1000000.0,1
0.5692307692307693,86275968.71762152,2.571913809059347e-06,2.8953384910772407e-12,1000000.0,1
0.5692307692307693,53797443.62691453,3.257020655659783e-06,4.64330861183293e-12,1000000.0,1
0.5692307692307693,33545435.463248473,4.124626382901348e-06,7.446561064544203e-12,1000000.0,1
0.5692307692307693,20917280.905262,5.223345074266844e-06,1.1942189583154642e-11,1000000.0,1
0.5692307692307693,13042985.859978428,6.6147406412301455e-06,1.9151913346191093e-11,1000000.0,1
0.5692307692307693,8132963.403778437,8.376776400682924e-06,3.0714282591761585e-11,1000000.0,1
0.5692307692307693,5071315.296650671,1.0608183551394482e-05,4.9257071153699853e-11,1000000.0,1
0.5692307692307693,3162222.3718175036,1.3433993325988988e-05,7.899448945339574e-11,1000000.0,1
0.5692307692307693,1971806.0770031614,1.7012542798525893e-05,1.266849464380792e-10,1000000.0,1
0.5692307692307693,1229521.1223951487,2.1544346900318823e-05,2.0316703108574658e-10,1000000.0,1
0.5692307692307693,766668.7938869396,2.7283333764867696e-05,3.2582279679895546e-10,5.5541299605882753e-08,1
0.5692307692307693,478056.88440745533,3.455107294592218e-05,5.225281828316891e-10,3.463518092901894e-08,1
