#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.1280954922105415,0.0001920842557451391,695.192796177562,16391.645246416792,1.855e-07,0
0.1280954922105415,1.335355905704985e-05,2636.6508987303664,235785.60792865438,1.855e-07,0
0.1280954922105415,9.283298054611797e-07,10000.0,3391657.8335438725,1.855e-07,0
0.13911644221634434,650317455723572.4,1e-07,4.04628041981857e-15,2.0046e-06,1
0.13911644221634434,45209601043674.586,3.792690190732254e-07,5.820371618056808e-14,2.0046e-06,1
0.13911644221634434,3142938895288.6504,1.438449888287663e-06,8.372312907660341e-13,2.0046e-06,1
0.13911644221634434,218494846827.85794,5.455594781168514e-06,1.2043152645585111e-11,2.0046e-06,1
0.13911644221634434,15189603308.89189,2.06913808111479e-05,1.7323473185884183e-10,2.0046e-06,1
0.13911644221634434,1055968712.5024555,7.847599703514623e-05,2.4918995689150914e-09,2.0046e-06,1
0.13911644221634434,73405211.11139299,0.00029763514416313193,3.5847675600177924e-08,2.0046e-06,1
0.13911644221634434,5097838.6491665235,0.0011288378916846883,5.162873565692567e-07,2.0046e-06,1
0.13911644221634434,353523.3258918497,0.004281332398719396,7.4485745809499185e-06,2.0046e-06,0
0.13911644221634434,24536.960191625763,0.01623776739188724,0.00010735200660953688,2.0046e-06,0
0.13911644221634434,1704.8163958089544,0.06158482110660267,0.0015452640279267579,2.0046e-06,0
0.13911644221634434,646.5292426764664,0.1,0.004074735783267582,2.0046e-06,0
0.13911644221634434,312.449953849684,0.14384498882876628,0.008431615359684902,1.9017925150272929e-06,0
0.13911644221634434,151.00044167469486,0.20691380811147897,0.017446791581538588,1.1069873298906332e-06,0
0.13911644221634434,118.49819127606116,0.23357214690901212,0.022232214957319963,9.469809179948528e-07,0
0.13911644221634434,72.97595993789828,0.29763514416313175,0.036100710469749046,7.228780079324995e-07,0
0.13911644221634434,35.2682664733646,0.42813323987193935,0.0746986392268971,5.372455468528312e-07,0
0.13911644221634434,17.044736749553838,0.6158482110660264,0.15456365142330797,3.4191054923663263e-07,0
0.13911644221634434,8.237545010907224,0.8858667904100825,0.3198162064925259,2.414439773433112e-07,0
0.13911644221634434,8.23754501090724,0.8858667904100832,0.319816206492528,2.414439773433114e-07,0
0.13911644221634434,3.9811287437991303,1.2742749857031335,0.6617477363889012,1.9288961817898682e-07,0
0.13911644221634434,1.924045261038551,1.8329807108324356,1.3692529765056205,1.855e-07,0
0.13911644221634434,0.9298754711162449,2.636650898730358,2.8331814430865236,1.855e-07,0
0.13911644221634434,0.5726614857454229,3.359818286283788,4.6004604780520335,1.855e-07,0
0.13911644221634434,0.44940159512116223,3.79269019073225,5.8622550791517805,1.855e-07,0
0.13911644221634434,0.2171924094442189,5.455594781168517,12.129831721496124,1.855e-07,0
0.13911644221634434,0.10496749352050896,7.847599703514611,25.098320465984713,1.855e-07,0
0.13911644221634434,0.050730029527510136,11.288378916846883,51.931924792505455,1.855e-07,0
0.13911644221634434,0.039810890783859174,12.742749857031322,66.17556404925875,1.855e-07,0
0.13911644221634434,0.0245174600218742,16.23776739188721,107.45437233347944,1.855e-07,0
0.13911644221634434,0.011849114250015665,23.357214690901213,222.33800443857936,1.855e-07,0
0.13911644221634434,0.005726593200465665,33.59818286283781,460.0481335101922,1.855e-07,0
0.13911644221634434,0.0027676221896281413,48.32930238571752,951.9032584110504,1.855e-07,0
0.13911644221634434,0.0027676221896281413,48.32930238571752,951.9032584110504,1.855e-07,0
0.13911644221634434,0.001337572377769346,69.51927961775606,1969.6194918496528,1.855e-07,0
0.13911644221634434,0.0006464393590470386,100.0,4075.4149984517685,1.855e-07,0
0.13911644221634434,0.00019240305947275648,183.29807108324374,13692.654889627853,1.855e-07,0
0.13911644221634434,1.3375721331843447e-05,695.192796177562,196961.9923611755,1.855e-07,0
0.13911644221634434,9.298704974459968e-07,2636.6508987303664,2833199.609902225,1.855e-07,0
0.13911644221634434,6.46439268652531e-08,10000.0,40754156.81632672,1.855e-07,0
0.15108560153798137,8533030890747534.0,1e-07,1.9534742352093552e-18,2.0046e-06,1
