#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.08,4435.5863440189605,0.20691380811147897,0.009655465501619973
0.08,3480.871473114681,0.23357214690901212,0.01230371609737007
0.08,2143.6899555483888,0.29763514416313175,0.019978478346191503
0.08,1036.0322619096855,0.42813323987193935,0.04133817580472456
0.08,500.70886752837964,0.6158482110660264,0.08553417040273609
0.08,241.99066329466996,0.8858667904100825,0.1769811388842557
0.08,241.99066329466953,0.8858667904100832,0.17698113888425607
0.08,116.95384816412118,1.2742749857031335,0.36619538091977183
0.08,56.52435185716189,1.8329807108324356,0.757700917897494
0.08,27.27521989926861,2.636650898730358,1.5677856727514725
0.08,16.797107692288638,3.359818286283788,2.545784646755007
0.08,13.181570305202195,3.79269019073225,3.2441023007786263
0.08,6.370371107295622,5.455594781168517,6.713491615298335
0.08,3.0786957455748674,7.847599703514611,13.895574570762848
0.08,1.4879255953085915,11.288378916846883,28.766874601804272
0.08,1.1676785786525212,12.742749857031322,36.66492517374061
0.08,0.7191416101205178,16.23776739188721,59.56535426485884
0.08,0.34759191908290227,23.357214690901213,123.35767603344743
0.08,0.16794545190109778,33.59818286283781,254.52023825213564
0.08,0.08117233145436013,48.32930238571752,526.5442667027041
0.08,0.08117233145436013,48.32930238571752,526.5442667027041
0.08,0.03923434706950554,69.51927961775606,1089.442357054784
0.08,0.01896428500973538,100.0,2254.304448690201
0.08,0.005642572844338401,183.29807108324374,7575.872451275442
0.08,0.000392231859826671,695.192796177562,108940.76525360084
0.08,2.726751709872742e-05,2636.6508987303664,1567098.202312807
0.08,1.8956490773788043e-06,10000.0,22546207.049321767
0.09,1.3337481583940224e+16,1e-07,2.8100462785060077e-15
0.09,927212111630610.1,3.792690190732254e-07,4.042110755400138e-14
0.09,64459118053418.54,1.438449888287663e-06,5.814373764551681e-13
0.09,4481151451869.565,5.455594781168514e-06,8.363685292082058e-12
0.09,311526420792.03644,2.06913808111479e-05,1.2030742174068572e-10
0.09,21657092355.36363,7.847599703514623e-05,1.730561973630521e-09
0.09,1505585459.163456,0.00029763514416313193,2.4893266776407187e-08
0.09,104667216.52737148,0.0011288378916846883,3.5807716813021457e-07
0.09,7276389.495927469,0.004281332398719396,5.150760623677549e-06
0.09,505849.35928542435,0.01623776739188724,7.409111017341467e-05
0.09,35166.28622714218,0.06158482110660267,0.001065763436959334
0.09,13337.484900394766,0.1,0.0028100458712247735
0.09,6445.91501275676,0.14384498882876628,0.005814372023643322
0.09,3115.26727690245,0.20691380811147897,0.01203073474539224
0.09,2444.7376636079634,0.23357214690901212,0.015330461770614479
0.09,1505.58836028719,0.29763514416313175,0.02489323518987938
0.09,727.6416584835146,0.42813323987193935,0.05150747293142851
0.09,351.66533343869247,0.6158482110660264,0.10657579539897356
0.09,169.95849851807787,0.8858667904100825,0.22051895234845686
0.09,169.95849851807765,0.8858667904100832,0.22051895234845742
0.09,82.14077423393778,1.2742749857031335,0.456280382555816
0.09,39.699027457029004,1.8329807108324356,0.9440972843862954
0.09,19.156338902277916,2.636650898730358,1.953464963790169
0.09,11.797194985580273,3.359818286283788,3.1720541903301225
0.09,9.257876887658604,3.79269019073225,4.042159775832262
0.09,4.474133966307084,5.455594781168517,8.365027747809574
0.09,2.1622754761720033,7.847599703514611,17.313921505660954
0.09,1.045022080702613,11.288378916846883,35.843599433937456
0.09,0.8201014240535217,12.742749857031322,45.684590675707966
