#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) 

0.8923076923076922,259569270886.96313,1.1288378916846883e-05,4.976491946059829e-20
0.8923076923076922,98446582750.851,1.8329807108324375e-05,1.3121271962104313e-19
0.8923076923076922,37337738871.02688,2.9763514416313192e-05,3.45962135113769e-19
0.8923076923076922,14161047596.027128,4.8329302385717524e-05,9.121813744750259e-19
0.8923076923076922,5370846630.795003,7.847599703514606e-05,2.4051038408190936e-18
0.8923076923076922,2036995733.2548854,0.00012742749857031334,6.3414192034663034e-18
0.8923076923076922,772569373.608456,0.00020691380811147902,1.6720108642259195e-17
0.8923076923076922,293011628.49502784,0.0003359818286283781,4.408508947996941e-17
0.8923076923076922,111130232.91689065,0.0005455594781168515,1.1623699080831845e-16
0.8923076923076922,42148254.42830164,0.0008858667904100823,3.064763663524681e-16
0.8923076923076922,15985527.113204608,0.0014384498882876629,8.08071187284153e-16
0.8923076923076922,6062815.188127943,0.002335721469090121,2.130601625684807e-15
0.8923076923076922,2299437.969758578,0.003792690190732246,5.617652715608002e-15
0.8923076923076922,872105.5837465044,0.00615848211066026,1.4811789252809806e-14
0.8923076923076922,330762.62981558003,0.01,3.905351866415339e-14
0.9461538461538462,27748603125242.293,1e-06,3.4922173007885886e-22
0.9461538461538462,10524185487962.87,1.6237767391887209e-06,9.207757884685903e-22
0.9461538461538462,3991497506564.354,2.6366508987303555e-06,2.4277643101948776e-21
0.9461538461538462,1513851343947.8809,4.281332398719396e-06,6.4011669503808205e-21
0.9461538461538462,574156914241.7972,6.951927961775606e-06,1.6877642592644807e-20
0.9461538461538462,217759929658.59674,1.1288378916846883e-05,4.450045151034889e-20
0.9461538461538462,82589594915.07077,1.8329807108324375e-05,1.173321554686796e-19
0.9461538461538462,31323674649.094357,2.9763514416313192e-05,3.093639331665457e-19
0.9461538461538462,11880099357.931313,4.8329302385717524e-05,8.156846924188978e-19
0.9461538461538462,4505753629.975518,7.847599703514606e-05,2.150675777350839e-18
0.9461538461538462,1708892759.4268837,0.00012742749857031334,5.670581221257256e-18
0.9461538461538462,648130080.569618,0.00020691380811147902,1.4951343073542665e-17
0.9461538461538462,245815659.88993818,0.0003359818286283781,3.9421472153412594e-17
0.9461538461538462,93230264.1997436,0.0005455594781168515,1.0394065999182533e-16
0.9461538461538462,35359350.85142383,0.0008858667904100823,2.7405523464647344e-16
0.9461538461538462,13410706.312935384,0.0014384498882876629,7.225879811807599e-16
0.9461538461538462,5086265.428836337,0.002335721469090121,1.9052122531170474e-15
0.9461538461538462,1929062.9003915994,0.003792690190732246,5.023379621285722e-15
0.9461538461538462,731633.7944140388,0.00615848211066026,1.3244898546471853e-14
0.9461538461538462,277486.03198300727,0.01,3.492217474637455e-14
1.0,23524659488313.836,1e-06,3.1442015450345912e-22
1.0,8922174528164.426,1.6237767391887209e-06,8.290161829504803e-22
1.0,3383904381297.041,2.6366508987303555e-06,2.185826263838408e-21
1.0,1283410095332.1125,4.281332398719396e-06,5.763260783017968e-21
1.0,486757687925.2857,6.951927961775606e-06,1.5195706723161897e-20
1.0,184612110825.7746,1.1288378916846883e-05,4.0065773788469764e-20
1.0,70017654181.92926,1.8329807108324375e-05,1.0563945846770631e-19
1.0,26555527019.388996,2.9763514416313192e-05,2.785343731103396e-19
1.0,10071688683.616581,4.8329302385717524e-05,7.343979051891842e-19
1.0,3819879487.44656,7.847599703514606e-05,1.9363508967463228e-18
1.0,1448761946.18218,0.00012742749857031334,5.105481332188372e-18
1.0,549470522.1995218,0.00020691380811147902,1.3461371943137987e-17
1.0,208397145.9646569,0.0003359818286283781,3.549293843321811e-17
1.0,79038581.12806676,0.0005455594781168515,9.358248802687238e-17
1.0,29976885.13377319,0.0008858667904100823,2.467443512195472e-16
1.0,11369303.819948979,0.0014384498882876629,6.505787158039644e-16
1.0,4312024.707729893,0.002335721469090121,1.71534895853723e-15
1.0,1635417.3815130661,0.003792690190732246,4.522776392849743e-15
1.0,620263.1464556208,0.00615848211066026,1.1924982579232784e-14
1.0,235246.59551978268,0.01,3.1442017017894407e-14
1.0538461538461539,19873509998882.805,1e-06,2.8026525717326708e-22
1.0538461538461539,7537406642818.215,1.6237767391887209e-06,7.389616422087874e-22
1.0538461538461539,2858704823777.679,2.6366508987303555e-06,1.9483838780570714e-21
1.0538461538461539,1084218174334.0533,4.281332398719396e-06,5.137208103150931e-21
1.0538461538461539,411210363441.0402,6.951927961775606e-06,1.3545024362137899e-20
1.0538461538461539,155959351175.0283,1.1288378916846883e-05,3.571350065775731e-20
1.0538461538461539,59150550135.44988,1.8329807108324375e-05,9.416403360609245e-20
1.0538461538461539,22433971127.51417,2.9763514416313192e-05,2.4827768383564646e-19
1.0538461538461539,8508510223.449809,4.8329302385717524e-05,6.546215782204152e-19
1.0538461538461539,3227014326.222772,7.847599703514606e-05,1.7260085725463973e-18
1.0538461538461539,1223906558.0421894,0.00012742749857031334,4.550882054043361e-18
1.0538461538461539,464189839.70636725,0.00020691380811147902,1.1999087257965756e-17
1.0538461538461539,176052825.1695923,0.0003359818286283781,3.163740420374433e-17
1.0538461538461539,66771382.307521135,0.0005455594781168515,8.341679023481947e-17
1.0538461538461539,25324316.670298416,0.0008858667904100823,2.1994095499400498e-16
1.0538461538461539,9604728.74259231,0.0014384498882876629,5.799075170149312e-16
1.0538461538461539,3642776.049008371,0.002335721469090121,1.52901367844018e-15
1.0538461538461539,1381592.0991480867,0.003792690190732246,4.0314753070391114e-15
1.0538461538461539,523995.0805384752,0.00615848211066026,1.062959311512997e-14
1.0538461538461539,198735.10052850752,0.01,2.80265271184114e-14
1.1076923076923075,17122291983562.22,1e-06,2.5409721067258857e-22
1.1076923076923075,6493954884890.986,1.6237767391887209e-06,6.699656388847554e-22
1.1076923076923075,2462955899098.3857,2.6366508987303555e-06,1.76646550388396e-21
1.1076923076923075,934122867871.6552,4.281332398719396e-06,4.657552858391827e-21
1.1076923076923075,354283863791.55115,6.951927961775606e-06,1.2280340929963072e-20
1.1076923076923075,134368893493.69414,1.1288378916846883e-05,3.2378971949703975e-20
1.1076923076923075,50961958429.30822,1.8329807108324375e-05,8.537204549116045e-20
1.1076923076923075,19328291983.534607,2.9763514416313192e-05,2.2509628047077837e-19
1.1076923076923075,7330622340.956419,4.8329302385717524e-05,5.935003102045605e-19
1.1076923076923075,2780277944.4511795,7.847599703514606e-05,1.564853126300544e-18
1.1076923076923075,1054473288.7432762,0.00012742749857031334,4.125971401861807e-18
1.1076923076923075,399929049.8609238,0.00020691380811147902,1.0878746204996427e-17
1.1076923076923075,151680698.43997008,0.0003359818286283781,2.868345595944656e-17
1.1076923076923075,57527789.70998463,0.0005455594781168515,7.56282599409878e-17
1.1076923076923075,21818508.37305882,0.0008858667904100823,1.9940531959014527e-16
1.1076923076923075,8275084.268583686,0.0014384498882876629,5.257622154378384e-16
1.1076923076923075,3138483.0935812723,0.002335721469090121,1.3862514201421444e-15
1.1076923076923075,1190329.4045650582,0.003792690190732246,3.655061068769432e-15
1.1076923076923075,451455.06592662976,0.00615848211066026,9.637120164112043e-15
1.1076923076923075,171222.9202917492,0.01,2.54097223392859e-14
1.1615384615384614,14854747693499.357,1e-06,2.3142551445827936e-22
1.1615384615384614,5633945586293.752,1.6237767391887209e-06,6.101882906855552e-22
1.1615384615384614,2136781016025.5605,2.6366508987303555e-06,1.6088535050308212e-21
1.1615384615384614,810414839922.3005,4.281332398719396e-06,4.241985039965008e-21
1.1615384615384614,307365241379.7165,6.951927961775606e-06,1.1184633668024578e-20
1.1615384615384614,116574113595.2905,1.1288378916846883e-05,2.9489974412768316e-20
1.1615384615384614,44212949712.616745,1.8329807108324375e-05,7.775476753896863e-20
1.1615384615384614,16768602067.838305,2.9763514416313192e-05,2.050121777122471e-19
1.1615384615384614,6359811257.498603,4.8329302385717524e-05,5.405455426160488e-19
1.1615384615384614,2412079377.122667,7.847599703514606e-05,1.4252298907459787e-18
1.1615384615384614,914826979.288375,0.00012742749857031334,3.757833672351426e-18
1.1615384615384614,346965531.05671835,0.00020691380811147902,9.908095529613857e-18
1.1615384615384614,131593276.6163858,0.0003359818286283781,2.6124188983759495e-17
1.1615384615384614,49909252.939198576,0.0005455594781168515,6.888036636885222e-17
1.1615384615384614,18929033.405186072,0.0008858667904100823,1.8161347993448041e-16
1.1615384615384614,7179195.931839743,0.0014384498882876629,4.788513453907834e-16
1.1615384615384614,2722846.599049141,0.002335721469090121,1.2625638322713424e-15
1.1615384615384614,1032691.3589517564,0.003792690190732246,3.328940077644854e-15
1.1615384615384614,391667.8389574844,0.00615848211066026,8.777252949919477e-15
1.1615384615384614,148547.47732569094,0.01,2.3142552606248477e-14
1.2153846153846153,12969440791851.455,1e-06,2.1166489683588522e-22
1.2153846153846153,4918907087053.773,1.6237767391887209e-06,5.580864404720033e-22
1.2153846153846153,1865589065819.2214,2.6366508987303555e-06,1.471479114839743e-21
1.2153846153846153,707560134986.9885,4.281332398719396e-06,3.879776730605168e-21
1.2153846153846153,268355638331.8344,6.951927961775606e-06,1.0229616803623342e-20
1.2153846153846153,101778979712.88423,1.1288378916846883e-05,2.6971928338941984e-20
1.2153846153846153,38601613797.979454,1.8329807108324375e-05,7.111555909536937e-20
1.2153846153846153,14640396199.803421,2.9763514416313192e-05,1.875069028025683e-19
1.2153846153846153,5552648705.543086,4.8329302385717524e-05,4.9439024379288965e-19
1.2153846153846153,2105947627.8098059,7.847599703514606e-05,1.3035344806224983e-18
1.2153846153846153,798720691.0192684,0.00012742749857031334,3.436965359876397e-18
1.2153846153846153,302930012.9966165,0.00020691380811147902,9.062077805141484e-18
1.2153846153846153,114891968.8773073,0.0003359818286283781,2.3893535590111505e-17
1.2153846153846153,43574964.335718974,0.0005455594781168515,6.299891209320877e-17
1.2153846153846153,16526633.979981113,0.0008858667904100823,1.661061382291285e-16
1.2153846153846153,6268040.25838551,0.0014384498882876629,4.3796389892124746e-16
1.2153846153846153,2377273.4805215728,0.002335721469090121,1.1547579096154404e-15
1.2153846153846153,901626.1812366984,0.003792690190732246,3.0446934935632077e-15
1.2153846153846153,341958.8775381065,0.00615848211066026,8.027793929959979e-15
1.2153846153846153,129694.40825658523,0.01,2.1166490746772097e-14
1.2692307692307694,11389333906807.895,1e-06,1.9434539672873644e-22
