#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.02,53884567.854268,0.23357214690901212,2.6059293726109223e-12
0.02,37183402.52061746,0.2811768697974228,3.776556239223974e-12
0.02,33184913.45174379,0.29763514416313175,4.231678780704404e-12
0.02,25532132.757032096,0.3393221771895326,5.500379329073118e-12
0.02,17531842.350713633,0.4094915062380423,8.011533132389707e-12
0.02,16038411.603151526,0.42813323987193935,8.757961442346251e-12
0.02,12038494.307682918,0.49417133613238334,1.1670320094304814e-11
0.02,8266534.065872415,0.5963623316594643,1.7002812293313797e-11
0.02,7751758.851989409,0.6158482110660264,1.813372090304958e-11
0.02,5676558.70143029,0.7196856730011514,2.4778090999393435e-11
0.02,3898185.530653581,0.868511373751352,3.6122399154484725e-11
0.02,3746988.573773511,0.8858667904100825,3.758557162248869e-11
0.02,3746988.573773505,0.8858667904100832,3.75855716224698e-11
0.02,2677089.8615324427,1.0481131341546852,5.268856216929491e-11
0.02,1838638.208946088,1.2648552168552958,7.690842226828259e-11
0.02,1811575.0478970995,1.2742749857031335,7.806666860449021e-11
0.02,1262090.9720035326,1.5264179671752318,1.1164040517275027e-10
0.02,874974.927485446,1.8329807108324356,1.6277202296343757e-10
0.02,866322.3331763314,1.8420699693267144,1.6431060983532463e-10
0.02,595069.0723338728,2.2229964825261934,2.3695467555973517e-10
0.02,422977.4089937986,2.636650898730358,3.330300934216934e-10
0.02,408589.73056841514,2.6826957952797246,3.44818484752826e-10
0.02,280602.81859055144,3.2374575428176433,5.027873027381417e-10
0.02,260286.77562306935,3.359818286283788,5.431876369994338e-10
0.02,204362.63374403893,3.79269019073225,6.865485723798358e-10
0.02,192597.5567136902,3.906939937054613,7.290903678241585e-10
0.02,132099.37284449892,4.714866363457389,1.0636183117646269e-09
0.02,98684.90616952993,5.455594781168517,1.4281966859104222e-09
0.02,90748.27238825911,5.689866029018293,1.557950585536449e-09
0.02,62285.514196312266,6.866488450042998,2.257167264179106e-09
0.02,47688.552333901156,7.847599703514611,2.9537547380215507e-09
0.02,42767.324741175704,8.286427728546842,3.2892032065615887e-09
0.02,29363.214124799855,10.0,4.78352784120123e-09
0.02,23041.67910394286,11.288378916846883,6.091221547413457e-09
0.02,18083.50717645704,12.742749857031322,7.77039381514375e-09
0.02,11138.544015011306,16.23776739188721,1.263845332078547e-08
0.02,5381.093560990222,23.357214690901213,2.6043832271986386e-08
0.02,2600.372762272165,33.59818286283781,5.383688278723068e-08
0.02,1256.874694988034,48.32930238571752,1.115705856989035e-07
